Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=4e4c0ded02e9efd4,모바일 RPG 게임,Success Korea 서울,,"자료구조, 알고리듬 사용 및 로직 구현에 능숙한 분 -C++, C#, Python 언어 중 하나를 능숙하게 사용 -새로운 언어, 환경에 대한 두려움이... 능숙한 분 -C++, C#, Python 언어 중 하나를 능숙하게 사용..."
https://kr.indeed.com/viewjob?jk=08be646e8b5508e6,소프트웨어 프로그래밍 엔지니어,이투비비 서울 금천구,,"학력사항: 대학(2,3년)졸업 이상 직무기술: C·C++, C언어, Python [우대사항] 영어가능자 (비지니스 회화) 운전가능자 관련 자격증 보유... 그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> Python"
https://kr.indeed.com/viewjob?jk=3e80435be74cd28f,블록체인인터넷경제연구센터 위촉연구원,광주과학기술원 광주 북구,,업무) 지원자격 연구직 O명 블록체인 연구 및 프로그래밍 제작 1) SW프로그래밍 제작 경험자 2) Python/C/Java/Go 프로그래밍 가능자 3) 블록체인 개발 경험자 우대 4) 컴퓨터공학 및 컴퓨터사이...
https://kr.indeed.com/viewjob?jk=c74c99c413a34fae,"Database Consultant, South Korea",EDB 경기도,,"scripting languages like BASH, KSH, Python, Perl etc.. Working knowledge of MS... like C, C++, PHP, python, Java or Ruby..."
https://kr.indeed.com/viewjob?jk=7b7ce79c1063c703,대기업계열 화학사 DT전략수립 및 분석 (대리급),에이치알 코리아 대한민국,,"과제 수행, 분석 시스템 구축/운영 경험 - DW 관련업무 수행 경험 - 데이터 분석 전략 수립 경험 - Python. R 등 활용 경험 - 국내 제조/화학 대기업 Big Data 분석 경험자 - 머신러닝 및 딥러닝를 이해하..."
https://kr.indeed.com/viewjob?jk=9fa9d498506f86aa,기술영업(신입/경력),에이치알 코리아 대한민국,,"모집부문 기술영업(신입/경력) 업무내용 - 담당업무 : 기술영업 -> 국내 기술영업 지원자격 - 자격요건 영어 구사 가능자( 토익 750점 이상 또는 준하는 역량) - 우대사항 - 프로그래밍 언어 사용가능자(C, VB, Python)"
https://kr.indeed.com/viewjob?jk=b06176c3a7092e0a,Customer Facing Data Scientist,Ever Better Recruitment (EBR) 서울,,ensure appropriate communication Experience in R or Python analysis Up to 50% off-site visits English ability to perform...
https://kr.indeed.com/viewjob?jk=ea7a7ab6e15151c1,WaveBridge BackEnd Developer 경력직,웨이브릿지 서울 강남구,,"적인 사고 및 알고리즘을 좋아하시는 분 Java, Spring 및 Design Pattern 에 대한 이해 Python 데이터 분석 및 웹개발 경험 RESTful API 서버에 대한 이해 및 구현 능력 기본적인 SQL문 작성..."
https://kr.indeed.com/viewjob?jk=4eb183fabe6be063,"Senior, QA Engineer (CMG Tech)",Coupang 3.0 서울,,"완전한 소프트웨어 개발 프로세스에 대한 노출 경험 JavaScript에 능숙하면서 그 외 Java, C#, Python 등 적어도 다른 한 가지 이상의 프로그래밍 언어에도 능숙 우대 사항: 광고 그리고/또는 이커머스 도메..."
https://kr.indeed.com/viewjob?jk=55d856d12c2156ca,Senior Full-stack Developer,Asiance 서울,,"React 혹은 WordPress 등의 CMS도 사용 Python, Node.js, Java, PHP for backend development. Python, Node.js, Java, PHP 등을 사용하여 백엔드 개발..."
